timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1659511446759,5786,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5786,0,0
1659511448904,3682,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-25,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3682,0,0
1659511448994,3715,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-43,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3715,0,0
1659511449119,3629,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-30,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3628,0,0
1659511449470,3587,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-12,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3587,0,0
1659511449920,3282,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-24,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3282,0,0
1659511449433,3811,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3811,0,0
1659511447946,5322,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5322,0,0
1659511449748,3643,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-27,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3643,0,0
1659511450205,3328,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3328,0,0
1659511450252,3650,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-48,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3650,0,0
1659511450342,3631,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-44,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3631,0,0
1659511450920,3544,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-21,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3544,0,0
1659511450921,4000,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-41,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,4000,0,0
1659511449460,5473,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-11,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5473,0,0
1659511450930,4013,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,4013,0,0
1659511451441,3552,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-47,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3552,0,0
1659511450945,4133,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-23,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,4133,0,0
1659511451400,3873,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3873,0,0
1659511451587,3985,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-26,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3985,0,0
